ASSETNUM;DESCRIPTION;PLUSTMODEL;PLUSTYEAR;ORGID;STATUS;ALNVALUE;DESCRIPTION_1;ASSETTYPE
13245;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13246;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13247;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13248;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13249;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13250;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13251;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13252;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13253;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13258;MB NEW TOURISMO RHD Euro VI;737;2023;EURO;OPERATING;1;Diesel;FLEET
13259;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13306;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
13359;OTOKAR ULYSO TH;834;2024;EURO;OPERATING;1;Diesel;FLEET
13381;Scania K500 CB 6X2;907;2024;EURO;OPERATING;1;Diesel;FLEET
13401;Otokar Ulyso TH Euro VI;834;2024;EURO;OPERATING;1;Diesel;FLEET
13402;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13404;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13407;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13408;S 519 HD EURO VI;631;2024;EURO;OPERATING;1;Diesel;FLEET
13414;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13421;SCANIA K500 CB 6X2 D. PISO EURO VI;907;2024;EURO;OPERATING;1;Diesel;FLEET
13422;SCANIA K500 CB 6X2 D. PISO EURO VI;907;2024;EURO;OPERATING;1;Diesel;FLEET
13423;SCANIA K500 CB 6X2 Doble Piso;907;2024;EURO;OPERATING;1;Diesel;FLEET
13450;SCANIA K340C Magnus LE;953;2024;EURO;OPERATING;3;ECO_GNC;FLEET
13459;S 519 HD EURO VI;631;2024;EURO;OPERATING;1;Diesel;FLEET
13535;MB SPRINTER 519 CDI ALTAS AUTO TOURLINE XL EURO VI;629;2025;EURO;OPERATING;1;Diesel;FLEET
13558;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13559;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13560;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13561;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13562;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13563;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13566;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13567;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13568;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13569;S 519 HD EURO VI;631;2024;EURO;OPERATING;1;Diesel;FLEET
13570;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13609;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13611;S 519 HD EURO VI;631;2024;EURO;OPERATING;1;Diesel;FLEET
13722;MB CITARO K Hibrido Euro 6;774;2024;EURO;OPERATING;8;ECO_Hibrido-Diesel;FLEET
13750;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13751;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13752;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13753;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13754;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13755;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13756;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13757;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13759;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13763;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13764;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13765;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13766;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13767;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13768;SCANIA K500 CB 6X2 Doble Piso;907;2025;EURO;OPERATING;1;Diesel;FLEET
13769;SCANIA K500 CB 6X2 Doble Piso;907;2025;EURO;OPERATING;1;Diesel;FLEET
13770;SCANIA K500 CB 6X2 Doble Piso;907;2025;EURO;OPERATING;1;Diesel;FLEET
13771;SCANIA K500 CB 6X2 Doble Piso;907;2025;EURO;OPERATING;1;Diesel;FLEET
13852;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13854;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13856;S 519 HD EURO VI;631;2025;EURO;OPERATING;1;Diesel;FLEET
13859;MB OC500 RF2546 6X2 i6;766;2025;EURO;OPERATING;1;Diesel;FLEET
13863;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13864;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13865;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13868;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13869;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13870;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13871;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13872;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13873;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13874;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13875;S 519 HD Euro 6;631;2025;EURO;OPERATING;1;Diesel;FLEET
13876;S 519 HD Euro 6;631;2024;EURO;OPERATING;1;Diesel;FLEET
13877;S 519 HD-SUPRA  Euro 6;642;2025;EURO;OPERATING;1;Diesel;FLEET
22684;TEMSA HD13;945;2024;EURO;OPERATING;1;Diesel;FLEET
22687;TEMSA Skoda HD 13;945;2024;EURO;OPERATING;1;Diesel;FLEET
2359;MB Sprinter 413 CDI Euro 3;144;2005;EURO;OPERATING;1;Diesel;FLEET
2558;MB Travego Eurobus Euro 4;151;2007;EURO;OPERATING;1;Diesel;FLEET
2711;MB OC500LE Euro 5;506;2010;EURO;OPERATING;1;Diesel;FLEET
2713;MB OC500LE Euro 5;506;2010;EURO;OPERATING;1;Diesel;FLEET
2890;MB SPR. 519 CDI FL PREMIUM;629;2015;EURO;OPERATING;1;Diesel;FLEET
2904;MB Travego Eurobus Euro 5;151;2010;EURO;OPERATING;1;Diesel;FLEET
2966;MB TOURISMO Euro EEV;332;2011;EURO;OPERATING;1;Diesel;FLEET
2985;Setra S416UL Euro EEV;390;2013;EURO;OPERATING;1;Diesel;FLEET
3000;SETRA S419GTHD Euro 5;401;2011;EURO;OPERATING;1;Diesel;FLEET
3037;SETRA S419GTHD Euro 5;401;2012;EURO;OPERATING;1;Diesel;FLEET
3063;MB TOURISMO Euro 5;332;2011;EURO;OPERATING;1;Diesel;FLEET
3068;MB Travego Eurobus Euro 5;151;2011;EURO;OPERATING;1;Diesel;FLEET
3121;S 419 UL E5;284;2011;EURO;OPERATING;1;Diesel;FLEET
3219;MB OC500 RF1842 EEV;478;2012;EURO;OPERATING;1;Diesel;FLEET
3252;SETRA S419GTHD Euro 5;401;2012;EURO;OPERATING;1;Diesel;FLEET
3272;SETRA S419GTHD Euro 5;401;2012;EURO;OPERATING;1;Diesel;FLEET
3333;S 419 UL EEV;284;2012;EURO;OPERATING;1;Diesel;FLEET
3421;S 419 UL EEV;284;2013;EURO;OPERATING;1;Diesel;FLEET
3593;SETRA S 517 HD Euro 6;489;2014;EURO;OPERATING;1;Diesel;FLEET
3650;S 519 HD EURO VI;631;2015;EURO;OPERATING;1;Diesel;FLEET
3652;S 519 HD EURO VI;631;2015;EURO;OPERATING;1;Diesel;FLEET
3653;S 519 HD EURO VI;631;2015;EURO;OPERATING;1;Diesel;FLEET
3656;S 519 HD EURO VI;631;2015;EURO;OPERATING;1;Diesel;FLEET
3664;MB TOURISMO Euro VI;332;2015;EURO;OPERATING;1;Diesel;FLEET
3665;MB TOURISMO Euro VI;332;2015;EURO;OPERATING;1;Diesel;FLEET
3689;MB TOURISMO Euro VI;332;2015;EURO;OPERATING;1;Diesel;FLEET
3692;MB OC500 RF 1943 Euro VI;593;2015;EURO;OPERATING;1;Diesel;FLEET
3698;S 519 HD EURO VI;631;2015;EURO;OPERATING;1;Diesel;FLEET
3704;SETRA S 517 HD Euro 6;489;2015;EURO;OPERATING;1;Diesel;FLEET
3705;SETRA S 517 HD Euro 6;489;2015;EURO;OPERATING;1;Diesel;FLEET
3749;S 519 HD EURO VI;631;2016;EURO;OPERATING;1;Diesel;FLEET
3750;S 519 HD-SUPRA  Euro 6;642;2016;EURO;OPERATING;1;Diesel;FLEET
3767;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3768;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3769;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3770;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3771;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3772;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3773;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3783;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3784;MB TOURISMO Euro VI;332;2016;EURO;OPERATING;1;Diesel;FLEET
3832;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3833;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3836;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3842;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3843;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3847;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3849;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3855;MB TOURISMO Euro 6;509;2016;EURO;OPERATING;1;Diesel;FLEET
